T Z1 Z2
18.112903593562088 0.04466726760557216 99.95532592617778
18.301904541152506 0.04267929346031 99.95731427683874
18.492877638487197 0.04079168140088945 99.95920224313248
18.685843464164645 0.03899899684227371 99.96099526102282
18.880822811512832 0.03729609505254771 99.9626984765352
19.077836690829844 0.03567810591875859 99.96431676099614
19.27690633164788 0.03414041944928079 99.96585472553551
19.47805318502087 0.03267867198330512 99.9673167348818
19.68129892583594 0.03128873307889629 99.96870692047834
19.88666545514908 0.029966693051908723 99.97002919294833
20.09417490254506 0.028708864060669553 99.97128724101238
20.30384962852211 0.02751186658950098 99.97248444499547
20.51571222690131 0.026372552335162953 99.97362395395366
20.729785527261328 0.02528793262881117 99.97470875726358
20.946092597398394 0.024255169978127575 99.97574169308314
21.164656745812014 0.023271570510541236 99.97672545591064
21.385501524216632 0.022334576756609457 99.97766260380381
21.608650730079457 0.02144176076135231 99.97855556527061
21.83412840918481 0.020590817511615653 99.97940664584401
22.061958858225214 0.01977955866787832 99.9802180343521
22.292166627419515 0.019005906589228815 99.98099180889503
22.524776523158337 0.01826788864060012 99.9817299425394
22.759813610677117 0.017563631771717155 99.98243430874109
22.997303216757075 0.016891357357577422 99.98310668650625
23.237270932454305 0.01624937629068619 99.98374876530055
23.479742615857422 0.01563608431566087 99.98436214971598
23.724744394873873 0.015049957597236055 99.98494836390407
23.97230267004547 0.014489548513110679 99.98550885578436
24.222444117393163 0.013953481663511957 99.98604500103592
24.47519569129159 0.013440450089779548 99.98655810687981
24.730584627373567 0.012949211694707533 99.98704941565983
24.988638445464883 0.012478585857826836 99.98752010822815
25.249384952549804 0.012027457563822721 99.98797129981705
25.512852245767405 0.01159488863411335 99.98840392879606
25.779068715439237 0.011180082865276948 99.98881879153868
26.048063048128572 0.010782278827679426 99.98921664963557
26.319864229731564 0.010400745418626461 99.98959823434237
26.594501548600668 0.010034780736628354 99.98996424770571
26.87200459870065 0.009683710986220654 99.99031536365878
27.15240328279753 0.009346889413165466 99.9906522290865
27.435727815680814 0.009023695269819845 99.99097546486048
27.72200872741931 0.008713532810429971 99.99128566684406
28.011276866650967 0.008415830316086078 99.99158340686766
28.303563403907013 0.008130039149050382 99.99186923367476
28.598899834970734 0.007855632836156982 99.99214367383883
28.897317984271442 0.007592106180966583 99.99240723265126
29.19885000831369 0.007338974404357424 99.99266039498133
29.503528399142386 0.007095772313224646 99.9929036261075
29.811385987844012 0.006862053496967998 99.99313737252129
30.122455948084337 0.006637389551449119 99.99336206270351
30.4367717996832 0.006421369330112028 99.99357810787338
30.754367412226408 0.006213598221976459 99.9937859027107
31.075277008715435 0.006013697456231704 99.99398582605147
31.39953516925517 0.005821303433181455 99.99417824155718
31.72717683478014 0.005636067664379743 99.99436349777469
32.058237310819635 0.005457679101525534 99.99454190580592
32.392752271302115 0.005285869312748092 99.99471373413124
32.73075776239929 0.00512038128606648 99.99487923980871
33.07229020641035 0.004960966886285581 99.99503867101744
33.41738640568668 0.004807386565685508 99.9951922673469
33.766083546597585 0.004659409080243023 99.99534026008091
34.11841920353734 0.004516811211493232 99.99548287247582
34.47443134297411 0.00437937749413768 99.99562032003297
34.834158327541004 0.004246899949495816 99.99575281076535
35.19763892017 0.004119177824892868 99.9958805454583
35.564912288268864 0.003996017339076424 99.99600371792413
35.93601800794168 0.0038772314337496647 99.99612251525069
36.31099606825342 0.0037626395313126583 99.99623711804368
36.68988687553906 0.003652067298902592 99.99634770066271
37.07273125775765 0.003545346418830028 99.99645443145093
37.45957046889173 0.003442314365512709 99.99655747295806
37.850446193392735 0.003342814189016101 99.99665698215703
38.24540055067282 0.003246694305320075 99.99675311065377
38.64447609964341 0.003153808293442305 99.99684600488999
39.04771584330129 0.003064014699562257 99.99693580633931
39.4551632333624 0.002977176848305309 99.99702265169586
39.86686217494406 0.0028931627220166968 99.99710667299516
40.28285703129603 0.0028118554906115013 99.99718798708356
40.703192628580965 0.002733164878019318 99.99726668425131
41.12791426070468 0.00265700596459229 99.99734284943148
41.55706769419691 0.002583296062846453 99.99741656532433
41.99069917314289 0.0025119546702688914 99.9974879124447
42.42885542416656 0.0024429034217649196 99.99755696916947
42.87158366146555 0.002376066041816643 99.99762381178545
43.31893159189893 0.002311368296421384 99.99768851453747
43.77094742012778 0.0022487379448775926 99.99775114967657
44.227679853809754 0.0021881046914851627 99.9978117875084
44.68917810884749 0.0021294001372260097 99.99787049644144
45.15549191469203 0.002072557731490233 99.99792734303541
45.626671519701446 0.0020175127239125718 99.99798239204935
46.10276769655547 0.001964202116384671 99.99803570648974
46.58383174772653 0.0019125646153077252 99.99808734765807
47.06991551100799 0.0018625405841519375 99.99813737519855
47.561071365099956 0.001814071996389444 99.99818584714495
48.057352235253454 0.001767102388869223 99.9982328199674
48.558811598973456 0.001721576815704054 99.99827834861844
49.06550349178144 0.001677441802742819 99.9983224865786
49.57748251303808 0.0016346453027028427 99.99836528590123
50.09480383182663 0.0015931366511227004 99.99840679725662
50.61752319289785 0.0015528684066400027 99.99844706809161
51.14569692267677 0.0015138010471403432 99.99848613793321
51.67938193533234 0.0014758974648931336 99.9985240438938
52.21863573891006 0.0014391214015100561 99.99856082223619
52.7635164415292 0.0014034374305846576 99.9985965083911
53.31408275764409 0.0013688109400503252 99.99863113697468
53.870394014371044 0.0013352081142884117 99.99866474180651
54.432510157881254 0.0013025959160196255 99.99869735592763
55.00049175986036 0.00127094206801168 99.99872901161892
55.574400024035484 0.0012402150346376229 99.99875974041947
56.15429679277029 0.0012103840033194362 99.9987895731452
56.740244553728914 0.0011814188658934056 99.99881853990753
57.332306446609444 0.0011532901999343926 99.99884667013185
57.930546269947584 0.0011259692500783262 99.99887399257656
58.535028487991426 0.0010994279093837114 99.9989005353514
59.14581823764784 0.0010736387007751732 99.99892632593613
59.76298133550142 0.0010485747586147826 99.99895139119899
60.38658428490667 0.001024209810449413 99.99897575741494
61.01669428315414 0.0010005181589853923 99.99899945028362
61.6533792287114 0.000977474664346071 99.99902249494723
62.296707728539594 0.0009550547266706594 99.99904491600776
