,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,T[eV]
614,7.029752895351861e-47,1.3313322904598752e-40,2.8871330722858594e-35,2.164555636487734e-30,5.629327256464573e-26,1.071612541629987e-21,5.794355975878275e-18,5.3477713886825746e-14,8.013397043056237e-12,6.784764047927036e-10,3.61397197726814e-08,1.2905621905693254e-06,3.41404930626337e-05,0.00090006289277888,0.011312302048336931,0.11150430467943902,0.8697312591497475,0.006506775390397313,9.827957784054425e-06,697.981390783066
615,5.830574065306091e-47,1.1133409323594823e-40,2.4359218915640393e-35,1.843183459475579e-30,4.839848530706938e-26,9.30451987414966e-22,5.082663688680311e-18,4.743689626968401e-14,7.1836374679281745e-12,6.159392034206312e-10,3.3240716842800484e-08,1.203186897215571e-06,3.2287266679476595e-05,0.0008639406016126035,0.011026331057658465,0.11044394268276861,0.870793816258448,0.00682758545976479,1.0859622283590614e-05,702.8244264308353
616,4.837584039830912e-47,9.31352589805923e-41,2.0558998840645913e-35,1.5700286839214875e-30,4.162389318331128e-26,8.081307257269047e-22,4.4596880457915235e-18,4.209016364400389e-14,6.4415664415659844e-12,5.593097435554969e-10,3.058146714835694e-08,1.121965367436986e-06,3.05402364707203e-05,0.0008293921701720961,0.010748799918250238,0.1094011715535973,0.8718153719087145,0.007161579707815535,1.199139235159387e-05,707.7010661181889
617,4.015054465966728e-47,7.793706793223934e-41,1.7357306991703734e-35,1.3377825895823366e-30,3.5808735862961475e-26,7.021023570140748e-22,3.914210468439036e-18,3.735644373093803e-14,5.7777336946169e-12,5.080166748929144e-10,2.8141561339231746e-08,1.0464478985310763e-06,2.8893007134298123e-05,0.0007963438439595621,0.010479426176652516,0.10837560829247075,0.8727962569843526,0.007509164479556211,1.3232112582455053e-05,712.6115430111745
618,3.333493012899243e-47,6.524052624837888e-41,1.465898732491285e-35,1.1402547268304936e-30,3.0815562607144713e-26,6.10168596025504e-22,3.4364490187269755e-18,3.3164269007933393e-14,5.183724304368055e-12,4.615449516359431e-10,2.5902365074480004e-08,9.762184454013667e-07,2.733957758789646e-05,0.000764725344232569,0.010217935561718839,0.10736686189693398,0.8737367889751818,0.007870754724978233,1.4591331794377793e-05,717.5560918936922
619,2.7685478174896626e-47,5.46302873105529e-41,1.2384144739305563e-35,9.722004115989939e-31,2.6526822456573437e-26,5.3043122394478e-22,3.0178725076936933e-18,2.945062594067413e-14,4.6520438286049705e-12,4.194302091470301e-10,2.3846862544452146e-08,9.108920713468279e-07,2.5874316562431735e-05,0.0007344697077770204,0.009964061775759946,0.10637453340515682,0.8746372717980686,0.008246774478926246,1.6079354703393156e-05,722.5349491787214
620,2.300105491358315e-47,4.576052856071215e-41,1.0465678457901167e-35,8.291750128086159e-31,2.284195682688859e-26,4.612507227828988e-22,2.65103884804434e-18,2.615994322156426e-14,4.176016293852181e-12,3.8125370677297403e-10,2.1959513871805157e-08,8.501125920992057e-07,2.4491939684877802e-05,0.0007055131335349216,0.009717546286908726,0.10539821591221717,0.8754979955488239,0.008637657423672972,1.7707297595512833e-05,727.5483529196233
621,1.9115483293869344e-47,3.8343227816176463e-41,8.847216743121047e-36,7.0741084869656305e-31,1.967492007890801e-26,4.0121065754658116e-22,2.3294544723263308e-18,2.3243202139289992e-14,3.749693592783628e-12,3.4663777968735095e-10,2.0226125162555015e-08,7.935503986340815e-07,2.3187487963456564e-05,0.0006777948358528631,0.009478138123084639,0.10443749455954283,0.8763192361750907,0.009043847543116296,1.9487148414679643e-05,732.596542821523
622,1.5891424817389555e-47,3.213842928697738e-41,7.481387292615074e-36,6.037131642350418e-31,1.6952064699516354e-26,3.4908700282630027e-22,2.047452055390062e-18,2.0657154256254386e-14,3.3677750081576402e-12,3.152417483467884e-10,1.8633730085960996e-08,7.409004453353724e-07,2.1956307592843504e-05,0.0006512569041202084,0.009245593667906582,0.1034919464979703,0.8771012550597652,0.009465799878097354,2.1431831741931234e-05,737.6797602527731
623,1.3215338799417524e-47,2.6946159784101004e-41,6.32836844622291e-36,5.153722145715855e-31,1.461033714816262e-26,3.0382172315371084e-22,1.8000841430650846e-18,1.8363633373771245e-14,3.0255357249858717e-12,2.86758239336168e-10,1.7170481960473498e-08,6.918803910739032e-07,2.079403100148414e-05,0.0006258441685695466,0.009019676458879442,0.10256114082494766,0.8778442985037694,0.00990398139295008,2.3555279207171554e-05,742.7982482564911
624,1.0993328379500044e-47,2.259971378844662e-41,5.354675342948066e-36,4.400889453376654e-31,1.2595738439877354e-26,2.645000133470707e-22,1.5830306042998812e-18,1.6328950348934722e-14,2.7187633208057164e-12,2.6090987603930916e-10,1.5825555412934143e-08,6.462288816740111e-07,1.9696559067375306e-05,0.0006015040720164075,0.00880015698815542,0.10164463849641323,0.8785485970962726,0.01035887196404259,2.5872505950216055e-05,747.9522515621821
625,9.147716421247506e-48,1.8960074230041904e-41,4.5321426915564614e-36,3.7591215341305933e-31,1.0862010357590968e-26,2.303306883199295e-22,1.3925180978317447e-18,1.4523360718561864e-14,2.443701337698272e-12,2.374463017670219e-10,1.4589056760416852e-08,6.03703963090609e-07,1.8660044432700426e-05,0.0005781865473192449,0.008586812506146959,0.10074199221392932,0.8792143649596577,0.01083096550175628,2.8399693833598553e-05,753.1420165974375
626,7.614222316131545e-48,1.5911275727476754e-41,3.837072104362773e-36,3.2118534280429776e-31,9.369513992202091e-27,2.0062928338330526e-22,1.2252499822192326e-18,1.2920596307765329e-14,2.1969991406768537e-12,2.1614150174906612e-10,1.3451942339183041e-08,5.64081615409089e-07,1.7680875851591784e-05,0.0005558439003459585,0.008379426828252108,0.09985274628768588,0.8798417988556702,0.011320771218077789,3.115428220739224e-05,758.367791499719
